# generated by zuna-rs fif_to_csv
# sfreq=256 n_channels=12 n_samples=3840
timestamp,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8
1.093750000e-1,1.009986318e-5,-6.829054655e-6,1.665078526e-5,-8.272379091e-6,2.308227522e-5,-3.284677950e-5,3.617671246e-5,3.004690370e-5,3.580389239e-5,3.689373625e-5,4.308163625e-5,-2.385573862e-5
1.132812500e-1,1.405349212e-5,-4.781411917e-6,1.689522833e-5,-7.591304893e-6,2.180385673e-5,-3.134950748e-5,3.527947047e-5,3.123028728e-5,3.590093911e-5,3.702910180e-5,4.376530342e-5,-2.315926577e-5
1.171875000e-1,1.062277352e-5,-1.198460723e-5,1.275505019e-5,-1.439718471e-5,2.226047582e-5,-3.136179294e-5,3.535451106e-5,3.322232806e-5,3.492188625e-5,3.510529132e-5,4.355807323e-5,-2.718690303e-5
1.210937500e-1,1.013453675e-5,-1.086166321e-5,1.161778346e-5,-1.360622628e-5,2.193327600e-5,-3.180438580e-5,3.566872692e-5,3.511273098e-5,3.513680713e-5,3.894410838e-5,4.443690341e-5,-2.609722287e-5
1.250000000e-1,1.100467853e-5,-6.062621651e-6,1.375023021e-5,-6.820677754e-6,2.150724140e-5,-3.097466106e-5,3.469511284e-5,3.260493031e-5,3.431209188e-5,3.678003850e-5,4.312394958e-5,-2.438983574e-5
1.289062500e-1,1.056301426e-5,-6.619181477e-6,1.304144735e-5,-7.084344361e-6,2.310943637e-5,-3.218617348e-5,3.727997682e-5,2.976359247e-5,3.773498247e-5,3.471239688e-5,4.306536721e-5,-2.474437497e-5
1.328125000e-1,8.408302165e-6,-9.515318197e-6,1.181085918e-5,-1.052871721e-5,2.326306821e-5,-3.252140232e-5,3.722136535e-5,3.035230657e-5,3.392495273e-5,3.254408148e-5,4.638484461e-5,-2.268561911e-5
1.367187500e-1,7.781269233e-6,-1.168570634e-5,9.786520422e-6,-1.450551099e-5,2.274941471e-5,-3.208417911e-5,3.640173964e-5,3.418518463e-5,3.378614565e-5,3.675951302e-5,4.793056723e-5,-2.400885205e-5
1.406250000e-1,1.378447632e-5,-2.757933999e-6,1.474099099e-5,-7.040937817e-6,2.277879321e-5,-3.253465547e-5,3.489844312e-5,3.147399184e-5,3.103143899e-5,3.504615233e-5,4.816299042e-5,-1.953059109e-5
1.445312500e-1,1.724218600e-5,-1.570181666e-6,1.308371429e-5,-5.490782314e-6,2.461341683e-5,-3.435600229e-5,3.479149382e-5,2.446942926e-5,3.155256127e-5,2.703024620e-5,4.773752516e-5,-2.071792005e-5
1.484375000e-1,1.609383617e-5,-3.214820026e-6,1.214943586e-5,-6.485054200e-6,2.384376967e-5,-3.308428859e-5,3.390755228e-5,2.438578485e-5,3.103258496e-5,2.756274625e-5,4.948129936e-5,-1.719294232e-5
1.523437500e-1,1.162193985e-5,-6.487758583e-6,1.397130291e-5,-1.077115940e-5,2.354021126e-5,-3.310269676e-5,3.376348832e-5,2.744196172e-5,2.965345448e-5,3.120718975e-5,5.041197801e-5,-1.840986442e-5
1.562500000e-1,1.758990584e-5,9.531375440e-7,1.818692363e-5,-6.970420145e-6,2.510351078e-5,-3.466911949e-5,3.343779463e-5,2.447519546e-5,2.985973333e-5,2.988673441e-5,5.538998084e-5,-1.743302710e-5
1.601562500e-1,2.784338903e-5,9.307287655e-6,2.361634324e-5,-7.928566674e-7,2.635658711e-5,-3.582538193e-5,3.292705151e-5,1.806988257e-5,2.878557643e-5,2.570139804e-5,5.747264731e-5,-1.118215732e-5
1.640625000e-1,3.129076140e-5,9.995166693e-6,2.418928125e-5,-2.986970003e-6,2.756572212e-5,-3.673583342e-5,3.511656541e-5,1.693601007e-5,3.479898442e-5,2.680478974e-5,6.240969378e-5,-1.174202316e-5
1.679687500e-1,2.793136991e-5,6.097851838e-6,1.896968570e-5,-8.356701983e-6,2.559040149e-5,-3.466424823e-5,3.502364052e-5,2.283195317e-5,3.521198596e-5,3.106656004e-5,6.298797962e-5,-1.147372677e-5
1.718750000e-1,2.765869431e-5,8.238877854e-6,1.856685958e-5,-5.821132163e-6,2.314640915e-5,-3.243886749e-5,3.430447396e-5,2.558829510e-5,3.469512012e-5,3.446782648e-5,6.282104732e-5,-8.496290320e-6
1.757812500e-1,2.692041926e-5,8.946810340e-6,1.976631575e-5,-1.817799557e-6,2.283305184e-5,-3.225363253e-5,3.496945646e-5,2.454759124e-5,3.795237717e-5,3.330627078e-5,5.820349543e-5,-9.798893188e-6
1.796875000e-1,2.925275840e-5,1.017123395e-5,2.192824650e-5,-7.973268907e-7,2.336732905e-5,-3.282919715e-5,3.554806608e-5,2.197837239e-5,4.026907845e-5,3.071805622e-5,5.975130989e-5,-9.082465112e-6
1.835937500e-1,2.890080395e-5,8.915365470e-6,2.046717418e-5,-3.223587328e-6,2.378665522e-5,-3.307900624e-5,3.597620889e-5,2.094827141e-5,4.206828089e-5,2.862951806e-5,6.121414481e-5,-5.545441127e-6
1.875000000e-1,2.838979162e-5,6.634126294e-6,1.860532393e-5,-4.690150945e-6,2.381255035e-5,-3.341483534e-5,3.817078687e-5,2.107390537e-5,4.422822531e-5,3.116887456e-5,6.114363350e-5,-7.192968042e-6
1.914062500e-1,3.121363261e-5,1.649425758e-5,1.759028601e-5,3.486649575e-6,2.242225310e-5,-3.223615204e-5,3.691079473e-5,1.930574581e-5,4.357114449e-5,3.263826875e-5,5.871391113e-5,-1.760153054e-6
1.953125000e-1,3.627547630e-5,2.086312452e-5,1.856543349e-5,6.526387097e-6,2.335815225e-5,-3.267613283e-5,3.706573261e-5,1.804898784e-5,4.522751260e-5,3.334090434e-5,6.238315837e-5,5.011676194e-7
1.992187500e-1,3.442907473e-5,1.709455137e-5,2.131995279e-5,1.446455485e-6,2.367967136e-5,-3.315036884e-5,3.905830818e-5,1.989837801e-5,4.865782830e-5,3.655226828e-5,6.561436021e-5,-5.518542139e-7
2.031250000e-1,3.110738544e-5,1.398503446e-5,1.890656495e-5,-1.828578320e-6,2.243827839e-5,-3.191499854e-5,3.861650112e-5,2.345399298e-5,4.980072117e-5,4.090157745e-5,6.426199252e-5,4.636575852e-7
2.070312500e-1,3.493881377e-5,2.092614159e-5,2.081641105e-5,4.917184924e-6,2.153168498e-5,-3.126533193e-5,3.707090946e-5,2.115722782e-5,4.527254350e-5,3.815079253e-5,6.510463572e-5,2.249548743e-6
2.109375000e-1,3.542040577e-5,2.069544098e-5,2.132200825e-5,8.268127203e-6,2.146648694e-5,-3.109743921e-5,3.460967491e-5,1.791110662e-5,4.158914453e-5,3.506175926e-5,6.270762970e-5,4.105077096e-6
2.148437500e-1,3.486243804e-5,1.686380892e-5,2.017414226e-5,3.441856961e-6,2.253902130e-5,-3.229313734e-5,3.524531348e-5,2.080016930e-5,4.074375465e-5,3.680018926e-5,6.365789886e-5,2.171653023e-6
2.187500000e-1,2.886570837e-5,1.173244527e-5,1.713299389e-5,-1.987212499e-6,2.198230686e-5,-3.147759344e-5,3.546019070e-5,2.484149809e-5,3.989282050e-5,3.876954361e-5,6.350997865e-5,4.584094881e-7
2.226562500e-1,2.898177809e-5,1.360706847e-5,1.770173003e-5,1.339362939e-6,2.155082984e-5,-3.057348658e-5,3.298809679e-5,2.377715828e-5,3.710753299e-5,3.472932440e-5,6.157813914e-5,-9.181095493e-7
2.265625000e-1,3.308729356e-5,1.822721970e-5,2.080230479e-5,8.046017683e-6,1.935466207e-5,-2.874299207e-5,3.042215212e-5,2.263276110e-5,3.544707943e-5,3.528874367e-5,6.157623284e-5,2.635523060e-6
2.304687500e-1,3.231868322e-5,1.600379073e-5,1.918150156e-5,6.971346920e-6,1.842144229e-5,-2.782517913e-5,3.165437738e-5,2.442663936e-5,3.970947000e-5,3.736062354e-5,5.951895946e-5,2.826159516e-6
2.343750000e-1,2.717186544e-5,9.810097254e-6,1.669525591e-5,1.388646211e-7,1.826788321e-5,-2.781684816e-5,3.148676115e-5,2.476513509e-5,3.473924880e-5,3.157956235e-5,5.842734026e-5,3.111499893e-7
2.382812500e-1,2.669085370e-5,1.111509118e-5,1.642408279e-5,-1.300515464e-6,1.988840449e-5,-2.950477028e-5,3.312681656e-5,2.348396447e-5,3.435013059e-5,3.257876961e-5,5.983894880e-5,-1.365409616e-6
